Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 32.88      0.24     0.24 180012020     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
 30.14      0.46     0.22 72047996     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
 12.33      0.55     0.09     5993     0.02     0.05  dfs(int, std::vector<bool, std::allocator<bool> >&, std::stack<int, std::deque<int, std::allocator<int> > >&, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)
 10.96      0.63     0.08 108000020     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  9.59      0.70     0.07     5995     0.01     0.05  reverseDfs(int, std::vector<bool, std::allocator<bool> >&, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, std::vector<int, std::allocator<int> >&)
  1.37      0.71     0.01    24021     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  1.37      0.72     0.01        1    10.00   719.98  kosaraju(int, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)
  1.37      0.73     0.01                             _init
  0.00      0.73     0.00    47994     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.73     0.00    47986     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.73     0.00    41997     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.73     0.00    30094     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      0.73     0.00    30045     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.73     0.00    30002     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.73     0.00    30002     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.73     0.00    24026     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      0.73     0.00    24022     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      0.73     0.00    24021     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      0.73     0.00    24021     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00      0.73     0.00    24021     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  0.00      0.73     0.00    24020     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      0.73     0.00    24020     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.00      0.73     0.00    24020     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      0.73     0.00    24020     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      0.73     0.00    24004     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      0.73     0.00    24004     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      0.73     0.00    24000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      0.73     0.00    24000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.73     0.00    24000     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      0.73     0.00    24000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.73     0.00    24000     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.73     0.00    24000     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.73     0.00    23998     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.73     0.00    23996     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.73     0.00    23988     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.73     0.00    18048     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.73     0.00    18048     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.73     0.00    18048     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.73     0.00    18048     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.73     0.00    18001     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.73     0.00    17997     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.73     0.00    17997     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.73     0.00    17997     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.73     0.00    17997     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.73     0.00    17997     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.73     0.00    17997     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.73     0.00    17997     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.73     0.00    12048     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.73     0.00    12046     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.73     0.00    12046     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.73     0.00    12020     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      0.73     0.00    12002     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      0.73     0.00    12002     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      0.73     0.00    12002     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      0.73     0.00    12000     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      0.73     0.00    12000     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int>, int>::_S_select_on_copy(std::allocator<int> const&)
  0.00      0.73     0.00    12000     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00      0.73     0.00    12000     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      0.73     0.00    12000     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      0.73     0.00    12000     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.00      0.73     0.00    12000     0.00     0.00  std::allocator_traits<std::allocator<int> >::select_on_container_copy_construction(std::allocator<int> const&)
  0.00      0.73     0.00    12000     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      0.73     0.00    12000     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.73     0.00    12000     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      0.73     0.00    12000     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  0.00      0.73     0.00    12000     0.00     0.00  void std::_Construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&)
  0.00      0.73     0.00    12000     0.00     0.00  int* std::__niter_wrap<int*>(int* const&, int*)
  0.00      0.73     0.00    12000     0.00     0.00  int* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.73     0.00    12000     0.00     0.00  int* std::__copy_move_a1<false, int const*, int*>(int const*, int const*, int*)
  0.00      0.73     0.00    12000     0.00     0.00  int* std::__copy_move_a2<false, int const*, int*>(int const*, int const*, int*)
