Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  6.74      0.06     0.06  2400021     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  4.49      0.10     0.04  2400021     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  4.49      0.14     0.04  1200000     0.00     0.00  void std::_Construct<std::deque<int, std::allocator<int> >>(std::deque<int, std::allocator<int> >*)
  4.49      0.18     0.04        1    40.00   880.00  kosaraju(int, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >&)
  3.37      0.21     0.03  5400042     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  3.37      0.24     0.03  2400021     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  3.37      0.27     0.03  1199998     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int, void>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
  2.81      0.29     0.03  1200001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_base()
  2.25      0.32     0.02  4799986     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  2.25      0.34     0.02  2414083     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_M_set_node(int**)
  2.25      0.35     0.02  2400026     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  2.25      0.38     0.02  1200001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_initialize_map(unsigned long)
  2.25      0.40     0.02  1199998     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  2.25      0.41     0.02   599999     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  2.25      0.43     0.02   599999     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  2.25      0.46     0.02   599995     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  2.25      0.47     0.02   599995     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  1.69      0.49     0.01  2400020     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
