Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  6.35      0.04     0.04  1200000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::begin()
  6.35      0.08     0.04  1200000     0.00     0.00  void std::_Construct<std::__cxx11::list<int, std::allocator<int> >>(std::__cxx11::list<int, std::allocator<int> >*)
  6.35      0.12     0.04   599999     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  4.76      0.15     0.03  3004686     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  4.76      0.18     0.03  2400021     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  4.76      0.21     0.03  2400021     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  4.76      0.24     0.03  2400020     0.00     0.00  std::_Bit_iterator::operator*() const
  4.76      0.27     0.03        1    30.00   630.00  kosaraju(int, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >&)
  3.97      0.29     0.03   599999     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  3.17      0.32     0.02  2400026     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  3.17      0.34     0.02  2400021     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  3.17      0.35     0.02  1200000     0.00     0.00  std::_Bit_reference::operator=(bool)
  3.17      0.38     0.02  1199998     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  3.17      0.40     0.02   599995     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  2.38      0.41     0.01   604687     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  1.59      0.42     0.01  2400040     0.00     0.00  std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::operator[](unsigned long)
  1.59      0.43     0.01  2400020     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  1.59      0.44     0.01  1200040     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::end()
  1.59      0.45     0.01  1200000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::~new_allocator()
  1.59      0.46     0.01  1200000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::~_List_base()
  1.59      0.47     0.01  1200000     0.00     0.00  std::__detail::_List_node_header::_M_init()
  1.59      0.48     0.01  1199998     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  1.59      0.49     0.01  1199995     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  1.59      0.50     0.01  1199994     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  1.59      0.51     0.01  1199994     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  1.59      0.52     0.01   604687     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  1.59      0.53     0.01   600001     0.00     0.00  std::deque<int, std::allocator<int> >::empty() const
  1.59      0.54     0.01   600001     0.00     0.00  std::operator==(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  1.59      0.55     0.01   600000     0.00     0.00  void __gnu_cxx::new_allocator<int>::destroy<int>(int*)
  1.59      0.56     0.01   600000     0.00     0.00  std::deque<int, std::allocator<int> >::pop_back()
  1.59      0.57     0.01   599999     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  1.59      0.58     0.01   599996     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  1.59      0.59     0.01   599995     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  1.59      0.60     0.01   599995     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  1.59      0.61     0.01        2     5.00    17.50  void std::_Destroy_aux<false>::__destroy<std::__cxx11::list<int, std::allocator<int> >*>(std::__cxx11::list<int, std::allocator<int> >*, std::__cxx11::list<int, std::allocator<int> >*)
  0.79      0.61     0.01  1200000     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.79      0.62     0.01  1200000     0.00     0.00  void std::_Destroy<std::__cxx11::list<int, std::allocator<int> > >(std::__cxx11::list<int, std::allocator<int> >*)
  0.79      0.62     0.01   599995     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.79      0.63     0.01       20     0.25     0.25  std::allocator_traits<std::allocator<std::_List_node<int> > >::allocate(std::allocator<std::_List_node<int> >&, unsigned long)
  0.00      0.63     0.00  4799986     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.63     0.00  3599994     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.63     0.00  2400040     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.63     0.00  2400030     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.63     0.00  2400022     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      0.63     0.00  2400021     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      0.63     0.00  2400020     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.00      0.63     0.00  2400020     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      0.63     0.00  2400000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >* std::__addressof<std::__cxx11::list<int, std::allocator<int> > >(std::__cxx11::list<int, std::allocator<int> >&)
  0.00      0.63     0.00  2399996     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.63     0.00  2399988     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.63     0.00  1809372     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      0.63     0.00  1799993     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.63     0.00  1204688     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.63     0.00  1204685     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.63     0.00  1204685     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.63     0.00  1200020     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      0.63     0.00  1200020     0.00     0.00  std::operator!=(std::_List_iterator<int> const&, std::_List_iterator<int> const&)
  0.00      0.63     0.00  1200000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::new_allocator()
  0.00      0.63     0.00  1200000     0.00     0.00  std::allocator<std::_List_node<int> >::allocator()
  0.00      0.63     0.00  1200000     0.00     0.00  std::allocator<std::_List_node<int> >::~allocator()
  0.00      0.63     0.00  1200000     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      0.63     0.00  1200000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_List_impl::_List_impl()
  0.00      0.63     0.00  1200000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_List_impl::~_List_impl()
  0.00      0.63     0.00  1200000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_clear()
  0.00      0.63     0.00  1200000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_List_base()
  0.00      0.63     0.00  1200000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::list()
  0.00      0.63     0.00  1200000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::~list()
  0.00      0.63     0.00  1200000     0.00     0.00  std::__detail::_List_node_header::_List_node_header()
  0.00      0.63     0.00  1199998     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.63     0.00  1199998     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
  0.00      0.63     0.00  1199998     0.00     0.00  std::vector<int, std::allocator<int> >::_S_do_relocate(int*, int*, int*, std::allocator<int>&, std::integral_constant<bool, true>)
  0.00      0.63     0.00  1199998     0.00     0.00  int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      0.63     0.00  1199998     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int, void>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
  0.00      0.63     0.00  1199994     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      0.63     0.00   604687     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.63     0.00   604687     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.63     0.00   600010     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.63     0.00   600002     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.63     0.00   600001     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::empty() const
  0.00      0.63     0.00   600001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.63     0.00   600001     0.00     0.00  std::deque<int, std::allocator<int> >::end()
  0.00      0.63     0.00   600000     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      0.63     0.00   600000     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.63     0.00   600000     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator*() const
  0.00      0.63     0.00   600000     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator--()
  0.00      0.63     0.00   600000     0.00     0.00  void std::allocator_traits<std::allocator<int> >::destroy<int>(std::allocator<int>&, int*)
  0.00      0.63     0.00   600000     0.00     0.00  std::deque<int, std::allocator<int> >::back()
  0.00      0.63     0.00   600000     0.00     0.00  std::deque<int, std::allocator<int> >::push_back(int const&)
  0.00      0.63     0.00   600000     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::pop()
  0.00      0.63     0.00   600000     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::top()
  0.00      0.63     0.00   600000     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::push(int const&)
  0.00      0.63     0.00   600000     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.63     0.00   599999     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.63     0.00   599996     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.63     0.00   599996     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.63     0.00   599996     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.63     0.00   599995     0.00     0.00  reverseDfs(int, std::vector<bool, std::allocator<bool> >&, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >&, std::vector<int, std::allocator<int> >&)
  0.00      0.63     0.00   599995     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.63     0.00   599995     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      0.63     0.00   599995     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.63     0.00   599995     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      0.63     0.00   599995     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.63     0.00   599995     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.63     0.00   599993     0.00     0.00  dfs(int, std::vector<bool, std::allocator<bool> >&, std::stack<int, std::deque<int, std::allocator<int> > >&, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >&)
  0.00      0.63     0.00    28148     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      0.63     0.00    18770     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_S_buffer_size()
  0.00      0.63     0.00    14083     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_M_set_node(int**)
  0.00      0.63     0.00     4709     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.63     0.00     4688     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_allocate_node()
  0.00      0.63     0.00     4688     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_deallocate_node(int*)
  0.00      0.63     0.00     4687     0.00     0.00  std::deque<int, std::allocator<int> >::size() const
  0.00      0.63     0.00     4687     0.00     0.00  std::deque<int, std::allocator<int> >::max_size() const
  0.00      0.63     0.00     4687     0.00     0.00  std::deque<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      0.63     0.00     4687     0.00     0.00  std::deque<int, std::allocator<int> >::_M_pop_back_aux()
  0.00      0.63     0.00     4687     0.00     0.00  void std::deque<int, std::allocator<int> >::_M_push_back_aux<int const&>(int const&)
  0.00      0.63     0.00     4687     0.00     0.00  std::deque<int, std::allocator<int> >::_M_reserve_map_at_back(unsigned long)
  0.00      0.63     0.00     4687     0.00     0.00  std::operator-(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.63     0.00       80     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.63     0.00       72     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.00      0.63     0.00       72     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  0.00      0.63     0.00       72     0.00     0.00  std::_List_node<int>::_M_valptr()
  0.00      0.63     0.00       40     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_Node_allocator()
  0.00      0.63     0.00       32     0.00     0.00  std::_List_iterator<int>::operator*() const
  0.00      0.63     0.00       30     0.00     0.00  int** std::__niter_base<int**>(int**)
  0.00      0.63     0.00       22     0.00     0.00  __gnu_cxx::new_allocator<int*>::new_allocator()
  0.00      0.63     0.00       22     0.00     0.00  __gnu_cxx::new_allocator<int*>::~new_allocator()
  0.00      0.63     0.00       22     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::base() const
  0.00      0.63     0.00       22     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_map_allocator() const
  0.00      0.63     0.00       22     0.00     0.00  std::allocator<int*>::allocator<int>(std::allocator<int> const&)
  0.00      0.63     0.00       22     0.00     0.00  std::allocator<int*>::~allocator()
  0.00      0.63     0.00       20     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::deallocate(std::_List_node<int>*, unsigned long)
  0.00      0.63     0.00       20     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<int> >::destroy<int>(int*)
  0.00      0.63     0.00       20     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::allocate(unsigned long, void const*)
  0.00      0.63     0.00       20     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<int> >::construct<int, int>(int*, int&&)
  0.00      0.63     0.00       20     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::_M_max_size() const
  0.00      0.63     0.00       20     0.00     0.00  std::_List_iterator<int>::operator++()
  0.00      0.63     0.00       20     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::__allocated_ptr(std::allocator<std::_List_node<int> >&, std::_List_node<int>*)
  0.00      0.63     0.00       20     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::~__allocated_ptr()
  0.00      0.63     0.00       20     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::operator=(decltype(nullptr))
  0.00      0.63     0.00       20     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<int> > >::deallocate(std::allocator<std::_List_node<int> >&, std::_List_node<int>*, unsigned long)
  0.00      0.63     0.00       20     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<int> > >::destroy<int>(std::allocator<std::_List_node<int> >&, int*)
  0.00      0.63     0.00       20     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<int> > >::construct<int, int>(std::allocator<std::_List_node<int> >&, int*, int&&)
  0.00      0.63     0.00       20     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::operator[](unsigned long)
  0.00      0.63     0.00       20     0.00     0.25  std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_node()
  0.00      0.63     0.00       20     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_inc_size(unsigned long)
  0.00      0.63     0.00       20     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_put_node(std::_List_node<int>*)
  0.00      0.63     0.00       20     0.00     0.25  std::_List_node<int>* std::__cxx11::list<int, std::allocator<int> >::_M_create_node<int>(int&&)
  0.00      0.63     0.00       20     0.00     0.25  void std::__cxx11::list<int, std::allocator<int> >::_M_insert<int>(std::_List_iterator<int>, int&&)
  0.00      0.63     0.00       20     0.00     0.25  std::__cxx11::list<int, std::allocator<int> >::push_back(int&&)
  0.00      0.63     0.00       20     0.00     0.00  std::allocator<std::_List_node<int> >* std::__addressof<std::allocator<std::_List_node<int> > >(std::allocator<std::_List_node<int> >&)
  0.00      0.63     0.00       20     0.00     0.00  int** std::__miter_base<int**>(int**)
  0.00      0.63     0.00       20     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      0.63     0.00       11     0.00     0.00  __gnu_cxx::new_allocator<int*>::deallocate(int**, unsigned long)
  0.00      0.63     0.00       11     0.00     0.00  __gnu_cxx::new_allocator<int*>::allocate(unsigned long, void const*)
  0.00      0.63     0.00       11     0.00     0.00  bool __gnu_cxx::operator!=<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >(__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > const&, __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > const&)
  0.00      0.63     0.00       11     0.00     0.00  __gnu_cxx::new_allocator<int*>::_M_max_size() const
  0.00      0.63     0.00       11     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_allocate_map(unsigned long)
  0.00      0.63     0.00       11     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_deallocate_map(int**, unsigned long)
  0.00      0.63     0.00       11     0.00     0.00  std::allocator_traits<std::allocator<int*> >::deallocate(std::allocator<int*>&, int**, unsigned long)
  0.00      0.63     0.00       11     0.00     0.00  std::allocator_traits<std::allocator<int*> >::allocate(std::allocator<int*>&, unsigned long)
  0.00      0.63     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::operator++()
  0.00      0.63     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::operator*() const
  0.00      0.63     0.00       10     0.00     0.00  int** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int*>(int* const*, int* const*, int**)
  0.00      0.63     0.00       10     0.00     0.00  std::pair<int, int>::pair<int, int, true>()
  0.00      0.63     0.00       10     0.00     0.00  std::deque<int, std::allocator<int> >::_M_reallocate_map(unsigned long, bool)
  0.00      0.63     0.00       10     0.00     0.00  void std::_Construct<std::pair<int, int>>(std::pair<int, int>*)
  0.00      0.63     0.00       10     0.00     0.00  std::pair<int, int>* std::__addressof<std::pair<int, int> >(std::pair<int, int>&)
  0.00      0.63     0.00       10     0.00     0.00  int** std::__niter_wrap<int**>(int** const&, int**)
  0.00      0.63     0.00       10     0.00     0.00  int** std::__copy_move_a<false, int**, int**>(int**, int**, int**)
  0.00      0.63     0.00       10     0.00     0.00  int** std::__copy_move_a1<false, int**, int**>(int**, int**, int**)
  0.00      0.63     0.00       10     0.00     0.00  int** std::__copy_move_a2<false, int**, int**>(int**, int**, int**)
  0.00      0.63     0.00       10     0.00     0.00  int** std::copy<int**, int**>(int**, int**, int**)
  0.00      0.63     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::list<int, std::allocator<int> > >::~new_allocator()
  0.00      0.63     0.00        6     0.00     0.00  std::allocator<std::__cxx11::list<int, std::allocator<int> > >::~allocator()
  0.00      0.63     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::list<int, std::allocator<int> > >::new_allocator(__gnu_cxx::new_allocator<std::__cxx11::list<int, std::allocator<int> > > const&)
  0.00      0.63     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::list<int, std::allocator<int> > >::_M_max_size() const
  0.00      0.63     0.00        4     0.00     0.00  std::allocator<std::__cxx11::list<int, std::allocator<int> > >::allocator(std::allocator<std::__cxx11::list<int, std::allocator<int> > > const&)
  0.00      0.63     0.00        4     0.00     0.00  std::_Vector_base<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::_M_get_Tp_allocator()
  0.00      0.63     0.00        4     0.00     0.00  std::_Bit_iterator::_Bit_iterator()
  0.00      0.63     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<std::pair<int, int> >::~new_allocator()
  0.00      0.63     0.00        3     0.00     0.00  std::allocator<std::pair<int, int> >::~allocator()
  0.00      0.63     0.00        3     0.00     0.00  unsigned long* std::__addressof<unsigned long>(unsigned long&)
  0.00      0.63     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::list<int, std::allocator<int> > >::deallocate(std::__cxx11::list<int, std::allocator<int> >*, unsigned long)
  0.00      0.63     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::list<int, std::allocator<int> > >::allocate(unsigned long, void const*)
  0.00      0.63     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::list<int, std::allocator<int> > >::new_allocator()
  0.00      0.63     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::pair<int, int> >::new_allocator(__gnu_cxx::new_allocator<std::pair<int, int> > const&)
  0.00      0.63     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::~new_allocator()
